Species,Sexual dominance,Romantic dominance,Social dominance
othermusteloid; anthro; other,-1,0,0
deer,1,2,0
otherfox; anthro,0,1,2
lion; anthro; feral,-2,-1,0
wolf; redfox,-2,0,0
wolf,0,-1,1
domesticcat; polymorphic,0,0,0
dragon,0,0,0
jackal; anthro,,,1
coyote,0,-1,0
wolf,0,-1,-1
wolf,-1,-1,-1
wolf; otherfox,-2,-2,-2
panther; anthro; feral; other,,1,1
wolf,-1,-1,0
greyfox,0,2,1
domesticcat,-2,-2,-2
riverotter,-2,-2,-2
othermustelid,0,0,0
feral; other,-2,0,1
wolf,-2,-2,-2
wolf; coyote; germanshepherd; husky; collie; otherdog; othercanine; rat; squirrel; other; raven,1,0,1
arcticfox,-2,-1,0
othercanine; othermustelid; hyaena; anthro; feral; other,-1,-1,-2
dragon,-1,0,-1
otherdog; anthro; other,-2,-1,-2
raccoon,,0,0
rabbit,-2,-1,0
snowleopard; feral,,,-2
leopard; anthro; feral,0,0,-1
redfox; arcticfox,-1,0,1
redfox,0,1,-1
horse,-1,0,1
fennec,2,1,0
redfox,0,-1,0
wolf; husky,-1,0,-2
wolf; redfox; husky; tiger; cheetah; domesticcat; dragon; rat; anthro,0,0,-1
domesticcat,-1,-1,-1
husky,0,0,-2
tiger,-1,-1,1
dragon; polymorphic,-1,0,2
wolf; otherungulate; raptor,-2,-1,0
snowleopard,-1,-2,1
wolf,-2,1,1
arcticfox,-1,-1,-1
wolf; anthro; other,1,0,1
redfox; otherfox,-2,-2,-2
hyaena,1,0,0
redfox; otherfox; otherfeline; anthro,-2,-1,-1
otherfeline; raven,1,1,0
redfox,0,-1,-1
wolf,1,-1,0
otherfox,-2,-2,-2
wolf,1,0,0
leopard,0,0,0
kangaroo; other,-1,-1,0
otherdog; anthro,2,2,1
other,-1,0,-1
raccoon,2,1,0
arcticfox,-1,1,0
wolf,0,0,-2
domesticcat,1,0,-1
raccoon; anthro,-1,0,-1
fennec; other,-2,-1,1
otherbird,-1,-1,-1
snowleopard; anthro,-1,1,-1
wolf; greyfox; other,2,2,1
redpanda,0,-1,-1
otherdog; kangaroo; other,1,1,1
rabbit,-1,0,-1
other,2,1,0
wolf,-1,0,-1
wolf; lion; taur,1,1,1
squirrel,2,0,0
wolf; redfox; anthro; other,2,1,2
raccoon,1,0,-1
lion; rabbit; other,1,2,1
other,-2,-1,0
mouse,-1,0,-2
coyote; anthro,-2,-2,1
otherreptile; otherbird; anthro; polymorphic,-1,-1,-2
otherdog,0,0,-1
germanshepherd,-1,1,1
,-1,2,0
other,-2,-2,-2
othercanine; otherreptile; horse; otherungulate; other,0,0,0
wolf; arcticfox,-1,1,2
wolf; redfox; anthro; feral,0,1,0
snowleopard; otherfeline,0,-2,2
germanshepherd; anthro; feral,-1,0,0
rabbit,-1,,-1
coyote,0,0,0
dragon; anthro; other,1,0,0
wolf; husky; anthro,1,0,1
wolf,-1,1,1
wolf,1,-1,0
wolf; hyaena,0,0,2
squirrel; anthro,-2,-1,1
lion,0,1,0
othercanine; anthro; other,-2,-1,1
otherfox,0,0,-1
redfox,-1,-1,0
rabbit,0,0,0
skunk,2,0,0
wolf; husky; anthro,-1,0,0
lion,0,0,0
cheetah; anthro; feral,0,0,0
lion,-2,-2,-2
redfox; tiger; domesticcat; otherfeline; anthro; feral,-2,0,0
tiger,-1,1,-1
otherungulate; anthro,0,0,0
otherungulate,-2,-1,-1
polymorphic; other,-2,0,-1
wolf; redfox; anthro,-2,1,1
snowleopard,0,0,1
lion; snowleopard,1,0,1
lion; anthro,1,0,-1
redfox; raccoon; other,0,0,-1
wolf,0,0,0
snowleopard,1,-1,-1
raccoon,-1,0,0
brownbear,-2,0,0
otherungulate,0,0,0
domesticcat,-2,-1,-1
otherfeline,-2,0,-1
coyote,-1,1,1
other,2,2,2
germanshepherd,-1,1,0
wolf; othercanine; other,1,-1,1
wolf; hyaena,-1,0,-2
wolf; domesticcat; anthro,-2,-1,0
raccoon; hyaena,-1,1,-2
wolf,-1,1,-2
wolf,2,2,0
redfox,-2,-2,-2
redfox,-2,-1,0
deer; anthro,-2,-1,-1
otherfox,-2,-2,-2
redfox,0,,0
wolf,-1,1,0
horse,1,0,0
otherfeline; anthro; feral,1,1,-1
wolf; snowleopard,1,1,2
wolf,1,-1,1
otherdog,2,2,-1
domesticcat; anthro,-1,0,1
tiger; panther,0,0,0
bat,-1,-1,0
raccoon,-1,-1,-2
husky,1,1,0
domesticcat,-2,-1,-1
redfox; anthro,1,0,-2
kitsune; fennec,-2,1,0
othermustelid,-2,-1,0
wolf; anthro,-1,1,-2
wolf; anthro,0,-1,1
cheetah; other,-1,0,-1
otherfox; anthro,1,1,0
arcticfox; kitsune; anthro; polymorphic,-2,-2,0
othercanine,1,0,0
dragon,-1,0,-2
wolf; redfox; kitsune; domesticcat,2,1,0
redfox; coyote,-1,0,1
wolf; otherdog; anthro; feral; polymorphic,-1,-2,1
redfox,-1,0,1
wolf,-1,0,0
domesticcat,-1,-1,-2
dragon; anthro; feral; polymorphic,-2,0,-2
dragon; anthro,0,0,0
other,0,1,-2
rabbit,0,0,-1
jackal,2,0,0
otherreptile,0,-1,-1
otherungulate; rabbit; anthro,-1,-1,-2
dragon; taur; anthro; feral,0,0,-1
arcticfox; fennec,1,0,0
dragon,1,2,-1
husky; snowleopard,0,0,1
othermustelid; polymorphic,-1,0,0
tiger; anthro,0,0,0
wolf,1,1,2
otherdog; other,-2,0,2
husky; otherdog,1,2,1
dragon,0,0,0
domesticcat,-1,0,0
domesticcat,-1,-1,0
otherfox,2,0,1
jackal; anthro,-2,-2,0
otherfox,-1,0,-2
redpanda; rabbit; anthro,0,-1,-2
wolf; anthro,1,-1,-1
hyaena; anthro,-2,-1,0
leopard,-1,0,1
kitsune; tiger; anthro,-2,-1,-2
otherfox; anthro,0,0,0
otherfox; domesticcat,0,0,1
otherbird,-1,-1,0
othermarsupial,0,1,-1
dragon; feral,-1,0,-1
wolf,0,1,-1
wolf; fennec,-2,-1,-1
othercanine,-2,0,0
otherreptile,1,0,0
other,-1,0,-2
redfox,0,0,-1
wolf,-2,-1,-2
kitsune,0,0,-1
domesticcat,-1,0,0
redfox,-1,2,2
rabbit,0,0,1
lizard; anthro,0,0,-1
dragon; anthro,-2,0,-2
tiger; polymorphic,1,0,0
wolf; deer; anthro,0,-1,1
otherdog; anthro; feral,-2,-1,-2
domesticcat,-1,-2,-1
otherdog; kangaroo,-1,1,1
wolf; other,0,-1,-1
riverotter,2,1,1
otherfeline; anthro,1,0,1
dinosaur,0,1,1
wolf; othercanine; anthro; feral; polymorphic,1,-1,0
wolf; otherfox; anthro; feral; polymorphic,0,0,0
otherdog; redpanda; anthro; feral,-1,0,-2
lizard,1,0,-1
redfox,0,0,-1
panther; raven; anthro; polymorphic,-1,-1,-1
germanshepherd; anthro,-2,-2,-1
anthro,0,-1,-1
domesticcat,-1,-1,-2
wolf; otherfox,0,0,0
wolf; anthro,2,1,-1
wolf,1,0,1
wolf,-1,-1,1
coyote,-1,0,-1
riverotter,0,1,1
raccoon,-1,-1,-1
wolf,0,0,-2
horse,,,-1
wolf; anthro,0,0,0
otherdog; feral,-2,-1,-1
tiger; anthro; other,2,2,1
mouse,-1,0,2
otherdog; anthro; feral,1,0,0
tiger; bat,0,0,1
horse; anthro,-1,0,-1
snowleopard,0,0,-1
otherfox,1,2,2
redfox; kitsune; anthro; feral; polymorphic,-2,-1,0
wolf,-1,0,0
dragon,1,0,-1
hyaena,-1,0,0
wolf; germanshepherd; feral,-1,-1,0
collie,0,0,1
wolf; rabbit,-1,0,0
otherfeline; feral,1,1,0
arcticfox,-2,0,1
redfox,1,1,-1
riverotter,-1,-1,1
husky; anthro; feral,0,1,-1
otherfox,0,1,1
redfox,0,0,-1
wolf; jackal; anthro,-1,0,1
husky,-2,-1,0
wolf; anthro,-1,1,1
wolf,0,0,0
domesticcat; anthro,2,2,2
other,2,0,1
grizzlybear,2,-2,-1
otherfeline; anthro; feral,1,1,1
cougar,-1,-1,-2
husky,-1,0,-1
domesticcat,-1,-1,-1
wolf,-1,0,1
husky; domesticcat,2,0,-1
dragon; hyaena,1,-1,-1
germanshepherd; anthro; feral,1,1,1
wolf; otherdog; other,-1,1,0
wolf,1,1,0
otherfeline,-2,-1,0
otherdog; anthro,-1,-1,-1
othermustelid,1,2,2
collie; anthro,-2,-1,-1
other,1,1,0
domesticcat,1,2,-1
lion,0,1,1
greyfox,0,0,0
otherdog; other,-1,0,0
redfox,-2,-1,0
wolf,0,-1,0
snowleopard,-1,-1,1
rabbit,-1,0,2
wolf; arcticfox; husky; anthro; feral; polymorphic,-2,0,1
dragon,-1,-1,-2
dragon,-2,-1,1
dragon,1,1,1
wolf; anthro; polymorphic,-1,0,0
other,0,1,1
othercanine,-1,-1,1
wolf,1,0,1
othermusteloid,1,0,-1
other,0,0,1
lizard,-1,-2,-2
wolf,1,0,0
wolf; germanshepherd,0,0,0
redfox,-2,-2,-2
wolf; dragon,1,2,-2
dragon; anthro; feral,0,1,0
other,0,0,-2
wolf,2,2,1
wolf,0,0,0
dragon; riverotter,2,2,2
wolf,1,1,0
wolf,2,0,2
snowleopard,-2,-1,1
dinosaur; anthro,1,0,1
othercanine,-2,-2,2
dragon; lizard; dinosaur; otherreptile; polymorphic,-2,0,2
otherfox,0,0,1
hyaena,0,1,0
redfox,-1,-1,-1
wolf; othercanine; anthro; feral; other,1,-1,0
wolf,1,2,0
tiger; otherfeline; other; polymorphic; other,-2,0,1
redfox,-1,0,0
lion; raptor; griffin; anthro; feral,0,-1,-2
skunk,1,1,-1
wolf; otherdog; anthro; feral,-1,1,-2
fennec,-1,0,0
other,1,0,-1
griffin,-1,-1,0
rat,-2,-1,1
otherfeline,-1,-1,1
wolf; otherdog; other,-2,0,1
othercanine,0,0,0
other,-1,0,1
dragon; griffin; anthro; feral; polymorphic,2,0,1
wolf,1,1,1
otherdog,-1,0,2
wolf; germanshepherd; lion; domesticcat,-2,-1,0
fennec; anthro,-1,-1,-2
redfox,-2,0,-1
pandabear,-2,-2,0
otherdog,0,0,-1
domesticcat,-1,0,-2
domesticcat,-1,1,-1
polarbear; anthro,-2,-2,-2
dragon,2,2,1
raccoon,0,-1,-1
dinosaur; anthro,,-1,-1
other,-1,-1,-2
hyaena; feral,-2,-1,1
other,-1,1,0
domesticcat,0,0,0
domesticcat,1,1,1
cougar,1,1,1
tiger; otherfeline; anthro,-2,0,0
other,1,0,0
domesticcat,1,-1,-1
lizard,-2,-2,-2
otherungulate,1,0,-1
wolf,0,0,0
wolf; anthro; feral,-1,-1,-1
husky; otherdog,-1,-1,1
wolf; redfox,1,0,1
otherfox; feral; other,1,1,1
otherbear; anthro,2,1,1
kitsune; rabbit; anthro; polymorphic; other,-2,-2,-2
dragon; anthro,-2,-2,0
otherfox,,,0
coyote,0,0,0
dragon; polymorphic; other,1,1,-1
redfox,-1,,
bat,1,0,1
wolf; anthro,2,1,1
wolf,-1,0,1
lion; leopard; anthro; feral; other,0,1,-1
jackal,1,0,-2
dragon; anthro; feral,-2,-1,1
wolf; redfox; kitsune,1,1,1
otherfox; anthro,-2,-2,-2
domesticcat,-1,0,-2
hyaena,-1,-1,0
other,0,0,0
dinosaur; anthro,0,0,1
wolf,-2,-1,-1
other,0,0,0
rabbit,0,0,0
otherungulate; anthro,1,2,0
redfox,1,1,0
raccoon,1,0,0
snowleopard,-1,0,1
redfox; greyfox; arcticfox,-1,-1,2
snowleopard; otherfeline,-2,-1,0
wolf,0,0,0
rabbit,0,0,0
anthro; other,-2,0,2
snowleopard,1,0,1
other,-1,0,-1
redfox,-2,0,1
otherfox,-1,0,-2
anthro; polymorphic; other,1,0,-1
tiger,-1,0,-2
raptor; anthro; other,2,1,0
redfox,-1,-2,-2
greyfox; anthro,0,-1,1
wolf,-1,0,0
otherdog; anthro; other,2,-1,-1
rat,-2,0,0
other,0,0,-1
dragon; anthro; feral,1,-1,0
horse,1,0,-1
deer,1,1,0
tiger,1,0,-1
redfox,1,1,-1
rabbit,-2,1,2
dragon,1,-1,0
tiger,0,1,1
othercanine; panther; otherfeline; raven; raptor; griffin; taur; anthro; feral; polymorphic; other,-1,-1,0
wolf; otherfox; dragon; anthro; feral,0,1,1
polarbear,-1,-1,0
otherbear,2,2,0
wolf,0,1,-1
redpanda,-1,1,1
otherbear,-1,-1,0
kitsune; deer; anthro; polymorphic,0,-1,0
wolf; grizzlybear; anthro,-1,1,0
other,1,2,1
otherfox; anthro,0,1,-1
hyaena,0,0,1
redfox; deer; anthro,0,1,1
tiger; anthro,0,0,0
dragon,1,0,-1
domesticcat,1,0,0
otherfeline; dragon; feral,1,0,-1
dragon; anthro,0,0,0
tiger; anthro,2,1,1
husky; anthro,0,1,2
otherfeline; anthro; feral; polymorphic; other,0,0,-2
kitsune,0,1,-1
wolf; arcticfox,0,0,0
dragon; anthro,0,-1,-1
snowleopard,-1,-1,0
raptor,1,0,0
weasel,-2,-2,-1
horse,0,1,1
fennec; anthro,-1,0,0
lion; anthro,-1,0,2
otherungulate; raven; anthro,-1,1,0
greyfox; otherreptile,0,-1,0
wolf; anthro,2,2,2
dragon,-1,-1,-1
domesticcat,0,-2,-2
other,0,1,2
tiger,-2,0,-2
otherdog,0,0,0
polarbear,-1,1,2
,1,0,-1
redfox,-1,-1,0
panther; anthro,-2,1,0
wolf; otherdog,0,0,-2
othercanine; dragon,-2,-2,-2
redpanda; anthro; feral,-1,-1,0
redfox; anthro,0,0,0
arcticfox,0,0,0
wolf; raptor; anthro; feral; polymorphic,0,0,0
germanshepherd; anthro,0,0,0
,-2,0,1
lion,1,1,0
anthro; other,-1,0,0
wolf,0,1,2
dragon,-1,-1,-2
otherfeline,-2,-2,0
wolf,-2,-2,-2
rabbit,0,0,0
wolf; redfox; greyfox; coyote; jackal; otherdog; othercanine; other,1,0,0
otherfox,1,0,1
dragon; raptor; anthro,0,0,-1
other,0,0,1
redfox,0,0,1
otherreptile; other,0,0,1
othercanine,1,-1,-1
lizard; anthro,-1,0,1
other,0,0,0
wolf,0,0,0
skunk,-2,-2,-2
panther,2,1,1
skunk; anthro,1,0,0
wolf,1,-2,-2
rat,-2,-1,-1
kitsune; skunk,0,1,-1
wolf; anthro,-1,-1,0
redpanda,0,0,-1
lion,1,-1,2
redfox,1,0,-1
otherbear; anthro; feral,0,0,1
otherfox,-1,0,1
lion; anthro,0,0,1
wolf; arcticfox; kitsune; panther; anthro; feral; polymorphic; other,-1,1,-1
other,1,2,0
husky,-2,1,0
redfox,2,1,1
seaotter; anthro,,0,1
tiger; lion; leopard,0,0,0
wolf; otherdog,0,0,-1
dragon; taur; anthro; feral; polymorphic,2,2,2
deer; anthro,0,0,0
skunk,-1,2,0
raven; otherbird; griffin,1,-1,-1
otherbear,1,0,0
wolf,-1,-1,-1
wolf; anthro,0,0,1
anthro; other,1,1,0
othermustelid,1,0,1
jackal,2,-2,2
redfox; raccoon,1,1,1
other,-2,-2,0
otherfox; other,1,0,1
domesticcat; riverotter,1,1,
redfox; anthro,-2,-1,1
wolf; redfox,1,0,1
tiger; anthro,0,0,0
dragon; lizard; anthro,0,0,1
otherfox; husky,0,0,0
redfox,-1,0,-2
wolf; other,-1,-1,1
wolf,0,0,0
otherfeline,-2,0,-1
coyote,-1,0,1
wolf,1,2,1
redfox,-1,-1,-1
lizard,1,0,1
kitsune; dragon,1,1,0
husky; domesticcat,-1,1,-2
otherfeline; anthro,-1,1,0
otherdog; anthro; feral,-1,-1,-1
otherreptile; otherbird; feral,1,2,-1
snowleopard,-2,-2,-2
otherdog,-1,0,-2
rabbit,-1,0,1
kitsune; cheetah; anthro,-1,-2,0
anthro; other,-1,0,1
otherbear,-1,0,0
redfox,1,0,-1
wolf,0,-1,-2
redfox; anthro; other,-2,-2,-2
kitsune,-1,-1,0
wolf,-2,,0
otherdog,-1,0,-1
othercanine; anthro,-2,-1,0
wolf; anthro; feral,-2,-1,1
lion,-2,-1,-2
wolf; otherdog,-1,-1,0
bat,-1,0,-1
tiger; anthro,1,1,0
germanshepherd; anthro,0,-1,-1
lion; otherfeline; anthro,-1,-1,-1
wolf,1,0,-1
hyaena,-1,0,-2
greyfox,-1,1,0
squirrel,0,0,0
wolf,2,2,1
otherfox,0,1,-1
redfox; rabbit,-1,0,0
weasel,-2,-1,-1
otherfeline,-2,-1,-1
other,0,0,0
wolf; otherdog; othercanine,0,1,0
domesticcat; otherfeline,-2,0,-1
fennec; anthro; other,-2,1,2
dragon; other,-1,0,1
,1,0,0
wolf; anthro; feral,1,0,0
wolf,-1,0,-1
redpanda,2,1,0
other,-1,-1,-1
redfox,-1,-1,1
husky; otherdog,0,0,1
redfox,0,0,-1
raccoon,-1,-1,1
wolf; husky,1,1,0
redfox,2,-2,0
othercanine,1,-1,1
otherfox,0,-2,-2
wolf; otherungulate; anthro,0,0,-1
redfox,-1,0,0
otherdog; anthro,-1,-1,1
hyaena,-2,0,1
otherfeline,0,0,-1
domesticcat; raven; anthro,-1,0,0
kitsune; otherfox; anthro; feral,-1,-1,-1
wolf; otherfox; otherdog; othercanine; anthro; feral; polymorphic,-2,0,0
raccoon,-1,-1,-2
dragon,-2,0,1
arcticfox,1,1,0
bat; anthro; feral,-2,-1,0
redfox; kitsune,0,0,1
otherdog,-2,0,-1
domesticcat; anthro,-1,0,0
feral; other,,,0
wolf; anthro; other,-1,1,0
husky; anthro,1,0,-1
otherfeline,-1,-2,0
othermustelid; anthro,0,-1,-1
otherbird; griffin; polymorphic; other,-1,0,-2
domesticcat,-2,-2,-2
jackal,-1,0,0
other,-1,-1,1
redfox; anthro; feral,0,0,0
otherreptile; anthro; other,-2,-1,-1
husky,-1,0,1
other,0,1,1
domesticcat; anthro,0,0,0
wolf; other,1,2,2
otherfox,1,1,0
otherdog; othercanine; dragon,0,0,-1
redfox; anthro,-1,0,0
lion; other; anthro,0,1,0
otherungulate,0,-2,-2
wolf; anthro,1,0,0
otherfox,0,0,0
otherfox,0,0,0
wolf,-2,-1,1
redfox,-1,0,1
wolf; fennec,-2,-2,0
lion; otherbird; griffin; anthro,1,1,0
redpanda,1,0,
wolf,0,-1,-2
snowleopard,0,0,-1
fennec,-1,-2,-1
otherfeline; anthro,0,0,0
redfox,-1,0,0
other,-1,0,0
other,1,1,-1
griffin,-1,-1,-1
otherfox,0,0,1
wolf; anthro,1,0,-1
griffin,-1,-1,-1
arcticfox; other,-1,0,1
cougar,-1,0,-1
other,,,-1
other,-2,-1,-2
panther; feral,0,0,-1
deer,0,-1,0
othercanine; otherfeline,-1,-1,0
bat; other,-2,-1,1
redfox,-1,0,-1
other,0,0,0
mouse,-1,0,-1
snowleopard; raven; feral,-2,1,2
rabbit,-2,1,0
pandabear,0,-1,-2
lizard,-1,0,-1
otherfox,-2,0,0
rat; anthro; other,1,1,-1
jackal; anthro,-2,0,1
otherfox,-1,0,1
other,1,1,0
grizzlybear; anthro; feral,0,0,0
cheetah,0,0,-1
,-1,-1,1
otherfeline; deer,-1,0,0
lizard; anthro,-1,0,-1
wolf; feral,-1,0,-1
otherdog,0,-1,0
domesticcat,0,0,0
fennec,1,0,-2
cheetah,0,1,2
snowleopard,-1,-1,1
otherbird; anthro,1,-1,-1
wolf,-2,-1,-1
redfox,1,-1,-1
wolf,-1,-1,0
coyote,0,0,2
feral; other,-1,-1,-1
coyote; anthro,-1,1,0
tiger,1,2,0
bat; anthro,-2,1,-1
husky,-1,-1,-1
other,0,0,1
redfox,-2,-1,-2
wolf,-1,0,1
domesticcat; anthro,-2,-1,1
wolf; arcticfox; anthro,-1,0,1
otherdog,-1,-1,0
riverotter,-1,0,0
fennec,0,-1,0
otherfeline; anthro,1,0,0
dragon; anthro,2,0,1
deer; anthro,-1,0,1
redfox,-1,-2,-2
otherungulate; other,-1,1,0
tiger,-1,-1,1
otherdog,0,1,1
otherdog; anthro; feral,-2,0,1
redfox; weasel,0,0,0
hyaena; anthro; other,-2,0,0
tiger,-1,1,0
arcticfox,-2,-1,0
tiger,0,0,0
otherfox; otherbird; anthro,-1,0,-2
grizzlybear,0,0,0
wolf; snowleopard,-2,-1,0
domesticcat,-1,0,-2
otherbird; other,-1,1,0
otherreptile,-1,0,-1
tiger,0,0,1
kitsune,-1,0,1
other,0,0,1
othercanine,1,0,-1
deer,1,0,1
cougar; anthro,-1,-1,1
,-1,1,2
othercanine; anthro,-2,0,1
grizzlybear,-1,-1,-2
domesticcat,-1,-1,-1
wolf; raven; anthro,-1,0,1
kitsune; anthro,1,-1,-1
kitsune,-1,-1,-2
lizard; anthro,-1,0,0
otherfeline; dragon; lizard; raptor; otherbird; feral,-1,-1,-1
dragon; anthro,-2,0,1
otherfeline,-1,0,0
dinosaur; anthro,1,0,0
tiger; snowleopard,0,0,-1
horse; raven,0,1,-1
dragon,-2,0,1
wolf; feral,0,0,0
brownbear,1,0,1
otherbird; polymorphic; other,-1,1,1
squirrel; griffin; anthro,0,0,1
domesticcat,-2,0,-2
dinosaur; anthro,0,-1,1
raven,1,0,1
dragon,-1,1,0
otherungulate,-2,-1,-1
deer,-2,-1,-2
dragon; anthro,1,-1,1
otherfox; otherbird,1,1,2
raccoon,-1,0,0
rabbit,,,0
otherfeline; anthro; feral,0,0,1
wolf; other,-1,-1,1
snowleopard,2,1,-1
tiger; dragon,1,1,-1
otherdog,-1,-1,-1
other,-1,0,-1
redfox,0,0,-1
wolf; anthro,-1,0,0
otherbear,-2,1,2
