Species,Sexual dominance,Romantic dominance,Social dominance
arcticfox; anthro,-1,0,0
germanshepherd; husky,-2,-2,-2
domesticcat,-1,-1,1
greyfox,-2,-1,-1
riverotter,0,0,0
othermustelid; other,0,0,0
otherdog,-1,-1,-1
rabbit; anthro,0,1,1
coyote; riverotter,-2,-1,-2
panther; anthro; other,0,1,1
domesticcat; anthro,-1,0,0
wolf,0,0,0
otherungulate,-1,1,0
rabbit; anthro,-2,-1,1
wolf; husky,1,1,0
domesticcat,0,2,-2
othermustelid,1,1,0
husky,0,-1,-1
otherfox,0,0,0
kitsune,,-2,1
cheetah,-1,1,0
riverotter; anthro,0,0,1
raccoon,,,-1
deer,0,-1,-2
redfox,-1,0,1
redfox,-1,-1,-2
otherdog,-1,-1,-1
wolf,2,0,-1
collie; anthro,0,1,0
other,0,1,-1
wolf; coyote; anthro; feral,-2,-1,1
domesticcat; anthro,-2,-1,-1
redfox,1,1,0
collie,0,0,0
riverotter,0,-1,-2
dragon,2,1,0
husky,0,1,2
kitsune; anthro,-1,-1,-1
feral,-1,0,-1
mouse,0,0,2
raccoon,-2,-1,1
rat,-2,-2,-2
othermarsupial; other,-2,-2,-2
dragon,-1,-2,0
arcticfox; anthro,0,1,1
rabbit,-1,1,1
wolf,0,-2,-2
collie,0,0,0
cheetah,0,1,1
redfox,0,0,0
deer; otherbird; feral,0,-1,0
otherungulate,-1,-1,-1
other,0,1,1
kangaroo,0,-1,-1
anthro; other,-1,-1,-1
wolf,0,0,0
redpanda; anthro,-2,0,-1
otherdog; anthro; other,-1,1,2
lion,-1,1,1
domesticcat,0,0,-1
otherdog,0,0,0
redfox; panther; anthro; polymorphic,-1,-1,1
otherfox; anthro,-1,-1,0
tiger,2,2,2
husky,-1,0,-2
otherdog,0,1,0
lizard; anthro,0,0,0
otherfox,0,0,1
rabbit,2,-1,-1
fennec,-2,-2,-2
griffin,-2,0,2
polarbear,0,0,1
wolf,-1,0,1
wolf; anthro,0,-1,-2
other,-2,-2,-2
bat,-1,0,0
othermarsupial; anthro; feral,1,0,-1
wolf; otherdog; anthro,-2,-1,-2
wolf; snowleopard,-2,1,0
domesticcat,0,0,1
other,-1,1,0
otherfeline,0,0,-1
redpanda; rabbit; anthro,2,1,-2
otherbear,0,0,2
wolf; anthro,0,0,0
riverotter,0,0,-1
raptor,-2,0,0
otherreptile,-1,0,0
othermusteloid; bat; anthro; other,-1,-1,-1
redfox,-2,0,1
snowleopard; anthro,-1,1,0
dragon; anthro,1,0,0
skunk,0,0,0
dragon; anthro,0,1,-1
riverotter,-1,0,-1
wolf,-2,-2,-2
coyote,0,0,-1
domesticcat,-2,-2,-2
domesticcat,-1,-1,1
wolf,-1,-1,-1
rabbit,-1,-1,-1
wolf,1,0,-1
raccoon,-1,1,0
polarbear; feral; other,-2,1,1
horse,0,0,1
otherfeline,-1,-1,-1
lion,0,0,0
anthro; other,1,0,0
tiger; dragon; anthro,0,0,-1
other,-1,1,-2
dragon; anthro,-1,-1,1
wolf,1,0,-1
wolf,0,0,0
wolf,-1,-1,-1
redpanda,0,-1,-2
raccoon,-1,-1,-1
otherdog,0,-1,1
leopard; dragon,-2,0,-1
deer,0,0,1
rabbit,-2,0,1
coyote; anthro; feral,-1,-1,-1
other,0,1,0
riverotter,-1,1,-2
raccoon,-1,-1,-1
othermarsupial; feral; polymorphic,2,0,-1
fennec,1,1,0
kitsune,-1,1,1
wolf,1,2,1
kitsune,,,0
other,-1,0,-2
otherfox,1,1,-1
raven,-1,-1,1
othercanine; raccoon; other,-1,0,0
snowleopard; domesticcat,-1,0,-1
raven,1,1,1
wolf; otherdog,0,0,0
arcticfox,1,-1,0
husky,-2,-2,-2
husky,0,-1,1
wolf,1,0,2
otherfox; domesticcat,2,2,1
otherfeline; feral,0,0,0
wolf; husky; anthro,0,-1,-1
panther,0,0,1
wolf; anthro,0,-1,-2
germanshepherd,-2,-1,-2
wolf; otherfox,0,0,0
domesticcat; anthro,0,1,0
wolf,1,1,-1
lion,-1,-2,0
husky; anthro,-2,-2,-1
collie,-2,-2,-2
coyote,-1,0,-1
otherdog,-1,1,1
germanshepherd,-2,-2,0
wolf; redfox; greyfox; husky,1,0,0
husky,0,0,0
othercanine,1,1,1
germanshepherd,-1,1,1
wolf; snowleopard,1,-1,-2
dragon; grizzlybear,0,0,0
wolf; anthro; feral; polymorphic; other,-2,-2,1
wolf; dragon,1,0,0
dragon; anthro; feral,1,0,0
othercanine; other,0,-1,0
arcticfox; collie; otherungulate; bat; anthro,-2,1,2
otherfox,0,0,-1
otherfox,0,1,2
bat,1,-1,0
brownbear; grizzlybear; otherbear,-2,-2,-2
riverotter; anthro,-1,1,-2
otherdog; anthro,-2,-1,0
otherbear,-1,0,1
redfox; deer,0,1,1
domesticcat,1,1,1
tiger,-1,-1,1
other,-1,1,0
arcticfox; fennec; husky; otherdog; lion; riverotter; seaotter; redpanda; deer; pandabear; anthro; feral,-2,1,0
otherdog; polarbear,-2,-1,1
redfox,-1,0,0
wolf,-1,0,1
otherfox,0,-1,-1
,-1,0,-1
otherungulate,1,-1,-2
wolf,-1,-1,-1
wolf,-2,0,0
kitsune; otherfox,-1,0,1
seaotter; anthro; feral,-2,-1,0
husky,1,1,1
otherreptile; anthro,-1,0,-1
raccoon; polymorphic,-1,1,-2
redfox; otherfox,2,1,0
badger,0,0,0
wolf; other,-2,0,-1
tiger; lion; domesticcat,0,-1,1
redpanda,,,0
domesticcat; dragon,-1,-2,-1
husky,-1,0,0
kitsune,-2,-2,0
grizzlybear,-1,1,0
dragon,-2,-1,-1
wolf; redfox; anthro,-1,1,0
panther; domesticcat; otherfeline; grizzlybear; bat,0,0,0
polarbear,-1,-2,-1
domesticcat,0,0,1
dragon; anthro; feral,-2,-2,0
wolf,2,2,1
wolf,0,0,0
other,0,0,0
jackal,-1,-2,-1
wolf; tiger; otherungulate; otherbird; anthro; other,-2,-1,1
wolf,-2,-1,1
snowleopard,-1,1,0
collie,0,1,1
squirrel,0,-1,1
fennec; domesticcat; dragon; anthro; feral,-2,-2,-1
weasel,0,0,0
redfox,-2,1,-1
other,0,0,0
wolf; germanshepherd,0,,
otherdog,-1,0,0
husky,0,0,0
lion,0,0,-1
,0,0,-2
horse; taur; anthro; polymorphic,,,-2
dragon,-1,-2,-2
