age,orientation
22,"Bisexual, leaning heterosexual"
27,Completely heterosexual
28,Completely homosexual
25,Mostly homosexual
18,Completely heterosexual
21,Asexual
19,"Bisexual, leaning heterosexual"
24,Pansexual
21,Completely heterosexual
39,Completely heterosexual
21,Mostly homosexual
20,Mostly heterosexual
24,Completely heterosexual
31,Completely homosexual
21,Completely heterosexual
21,Other
22,Mostly homosexual
20,Asexual
19,Bisexual
21,Mostly homosexual
26,Completely homosexual
25,Completely homosexual
18,Mostly homosexual
22,Mostly heterosexual
22,Completely homosexual
28,Completely homosexual
24,Completely homosexual
22,"Bisexual, leaning homosexual"
21,Other
34,Pansexual
0,Asexual
19,Asexual
20,"Bisexual, leaning homosexual"
22,Completely homosexual
30,Mostly heterosexual
30,Asexual
22,Mostly homosexual
21,"Bisexual, leaning homosexual"
22,Completely homosexual
30,Asexual
22,Pansexual
-1,Other
23,Bisexual
19,"Bisexual, leaning heterosexual"
24,"Bisexual, leaning heterosexual"
17,Completely homosexual
27,Completely heterosexual
22,Mostly homosexual
24,Mostly heterosexual
26,Completely heterosexual
22,Mostly homosexual
30,Mostly heterosexual
16,Pansexual
21,Completely homosexual
32,Mostly heterosexual
32,Completely heterosexual
27,Other
20,Mostly homosexual
23,Completely homosexual
17,Pansexual
24,"Bisexual, leaning heterosexual"
49,"Bisexual, leaning heterosexual"
22,Pansexual
20,Asexual
19,Pansexual
34,Bisexual
27,Bisexual
25,Completely homosexual
30,Mostly homosexual
28,Pansexual
31,Completely homosexual
36,Completely heterosexual
17,Pansexual
23,Completely heterosexual
35,Mostly heterosexual
17,Mostly homosexual
17,Completely homosexual
19,Mostly homosexual
29,Completely homosexual
19,Completely heterosexual
15,Mostly homosexual
14,Asexual
21,Mostly homosexual
28,Mostly heterosexual
18,Mostly homosexual
21,Mostly homosexual
17,Bisexual
20,Pansexual
18,Asexual
21,Pansexual
21,"Bisexual, leaning homosexual"
30,Pansexual
23,Bisexual
18,"Bisexual, leaning heterosexual"
18,Mostly homosexual
22,Completely homosexual
27,Completely homosexual
30,Pansexual
19,Pansexual
17,"Bisexual, leaning homosexual"
32,"Bisexual, leaning heterosexual"
16,"Bisexual, leaning homosexual"
29,Mostly homosexual
17,Bisexual
24,"Bisexual, leaning homosexual"
32,Bisexual
19,Mostly heterosexual
16,Completely heterosexual
30,Mostly homosexual
29,Completely heterosexual
19,Asexual
46,Other
20,Pansexual
31,Pansexual
21,Completely homosexual
21,Completely heterosexual
25,Pansexual
23,Completely homosexual
51,"Bisexual, leaning homosexual"
22,"Bisexual, leaning heterosexual"
20,Completely homosexual
19,Asexual
44,Completely heterosexual
23,"Bisexual, leaning heterosexual"
21,"Bisexual, leaning heterosexual"
37,Mostly heterosexual
22,Completely homosexual
24,"Bisexual, leaning homosexual"
21,Mostly homosexual
27,Bisexual
39,Mostly heterosexual
19,Completely homosexual
20,Pansexual
19,Mostly homosexual
29,Bisexual
19,Bisexual
26,Pansexual
26,Completely homosexual
19,Completely homosexual
22,Completely homosexual
22,Bisexual
32,Pansexual
30,Mostly homosexual
25,Bisexual
24,Mostly homosexual
28,Bisexual
18,Other
25,Mostly heterosexual
17,"Bisexual, leaning heterosexual"
22,Completely homosexual
25,"Bisexual, leaning homosexual"
31,Completely heterosexual
28,Completely homosexual
29,Bisexual
39,Completely homosexual
31,Completely heterosexual
23,Mostly homosexual
20,"Bisexual, leaning heterosexual"
26,Asexual
20,Completely homosexual
33,Mostly homosexual
19,Pansexual
21,Completely homosexual
20,Pansexual
27,"Bisexual, leaning heterosexual"
20,Completely homosexual
32,Mostly heterosexual
17,"Bisexual, leaning homosexual"
33,Completely homosexual
19,Asexual
20,Completely heterosexual
22,Pansexual
20,Completely homosexual
17,Asexual
29,Completely homosexual
29,Asexual
23,"Bisexual, leaning heterosexual"
53,Completely homosexual
25,Mostly heterosexual
32,Mostly heterosexual
23,Pansexual
21,Asexual
19,Completely homosexual
30,Pansexual
29,Completely homosexual
22,Pansexual
19,Asexual
26,Bisexual
28,Completely homosexual
53,Mostly heterosexual
24,Mostly homosexual
27,Mostly heterosexual
27,Pansexual
23,Pansexual
34,"Bisexual, leaning homosexual"
34,Mostly heterosexual
18,Bisexual
26,Other
17,"Bisexual, leaning heterosexual"
28,Completely homosexual
30,Bisexual
24,Pansexual
18,Bisexual
17,Mostly homosexual
25,Completely homosexual
59,Mostly homosexual
21,Bisexual
0,Mostly homosexual
21,Mostly homosexual
34,Mostly heterosexual
25,Completely homosexual
24,Mostly homosexual
36,Completely homosexual
