Species,Sexual dominance,Romantic dominance,Social dominance
dragon,1,1,1
other,0,-1,-2
dragon,-2,-2,1
dragon,-1,-1,1
deer,0,0,0
othermustelid,-1,1,2
otherbird,0,-1,-1
tiger,0,0,0
tiger,1,0,0
otherdog,-2,0,0
mouse,-1,1,-1
lion,-2,-1,0
,-1,-2,2
otherdog,-1,-1,-2
fennec,-1,-2,0
domesticcat,1,-1,-2
otherbird; other,0,0,0
otherreptile,-2,-1,0
collie,1,1,1
wolf; other,1,0,1
dragon; otherreptile,-1,-1,1
othermustelid; other,-1,0,-1
othermustelid,-1,0,-2
otherfeline,-1,0,0
arcticfox,0,-2,-1
wolf,1,1,0
rabbit,-2,-2,-1
snowleopard; otherfeline,1,1,-1
arcticfox,2,1,-1
wolf,-2,1,2
wolf,-1,-1,0
arcticfox,1,1,0
othermustelid,-1,1,-1
otherdog,-1,1,1
horse; other,0,-1,-1
other,1,-2,1
otherdog,0,-2,-1
redpanda,-1,-1,0
otherreptile; other,-1,1,-2
otherungulate,2,1,1
coyote,-2,-1,0
otherfox,1,1,-1
redfox; coyote; collie; panther; lizard; seaotter; othermusteloid; otherungulate; polarbear; rat; raven; rabbit; koala; lemur; hyaena,-2,-2,-2
othermarsupial; other,-1,1,0
fennec; otherdog,-2,-1,1
redfox; otherfeline; other,,-1,1
other,0,1,1
collie,0,-1,-2
domesticcat,0,0,-1
wolf,0,0,0
horse,0,0,-1
other,0,-1,-1
raven; otherbird; monkey; otherprimate; griffin; other,0,1,1
redfox,0,0,1
snowleopard,0,1,-1
wolf,1,0,1
othercanine; other,2,1,0
otherfeline,0,-1,-1
riverotter,2,1,2
otherdog,0,1,0
other,1,1,-1
otherdog,-2,-1,0
redfox,-2,-2,0
weasel,0,0,1
otherdog,-1,0,0
polarbear,2,2,2
wolf,1,1,1
raccoon,1,0,1
wolf; husky,1,0,0
othermarsupial,0,1,1
lizard,0,0,1
kitsune,0,-1,-1
other,1,1,1
arcticfox,0,1,-1
snowleopard,2,2,2
fennec,1,0,-2
otherreptile,1,-1,0
coyote,0,0,0
leopard,1,1,1
other,-1,1,1
husky,-2,-2,0
other,0,1,-1
otherbird,0,1,-1
otherfox,-1,1,2
dinosaur,1,2,-2
riverotter,0,-2,1
wolf; otherfox,-1,0,-1
hyaena,0,1,-2
wolf,0,-1,0
otherdog,1,1,0
bat,-1,1,-1
otherdog,1,0,-2
other,-1,-1,1
wolf,2,2,-1
cougar,-1,-1,2
arcticfox; kitsune,-1,1,0
kitsune,-1,-1,-1
husky,0,0,0
wolf; brownbear,-1,0,-1
other,-1,-1,0
griffin,-1,0,1
horse,-1,0,0
lion,1,0,0
