Species,Sexual dominance,Romantic dominance,Social dominance
dragon,0,0,1
otherdog,-2,-2,0
dragon,1,-1,0
dragon,1,1,0
griffin,-2,0,2
riverotter,1,0,0
cheetah,0,0,-1
lion,0,-1,0
dragon,-1,0,1
otherdog,-1,-1,-1
raven,-1,1,1
redfox; tiger; raccoon; brownbear; polarbear; other,1,1,0
otherbird,-1,0,1
tiger,1,1,0
redfox,-1,-1,-1
raccoon,-1,-2,-2
wolf,1,0,-1
griffin,-2,-2,1
wolf,2,1,1
domesticcat; rabbit,-1,-2,-2
redfox,-2,-2,0
raven,-2,1,0
pandabear,-1,1,2
dinosaur,1,0,0
wolf; otherfeline; dragon,1,0,-2
dragon,0,2,1
wolf,0,0,0
collie,-2,-1,-2
other,0,0,-1
wolf; kitsune; tiger; other,-2,-1,-2
wolf,-2,-1,-1
dragon; otherreptile; other,-1,0,0
othermustelid,0,0,0
wolf,0,1,1
wolf,-1,0,0
dragon; lizard; otherreptile; other,1,1,0
mouse,-1,-1,0
redfox,-2,-2,-2
husky; dragon,1,1,1
snowleopard,0,0,-1
kitsune,0,0,0
redfox; collie; dinosaur; skunk; deer; raven; otherbird; rabbit; hyaena,0,0,0
redfox,-2,,1
wolf,0,-1,0
tiger,0,0,1
mouse,-1,-2,-2
tiger; domesticcat,-2,0,1
raven,-1,-2,1
grizzlybear,1,0,1
other,-1,0,-2
wolf,-2,-1,0
wolf; dragon,-1,-1,-2
kitsune; squirrel,-1,-2,-2
wolf; otherfox,0,0,0
squirrel,-1,-1,-2
dragon,0,0,0
other,0,0,0
lion; other,1,-2,-2
other,2,-1,-2
other,0,0,0
otherdog,1,-1,2
dragon,0,1,-1
dragon,-1,0,0
dragon,1,0,0
redfox,-2,-2,-2
kitsune; dragon,1,-1,0
other,2,0,0
dinosaur,-2,-1,-1
cheetah,1,1,1
other,0,0,-1
bat; other,1,0,-1
otherdog,-1,0,0
horse,-1,-2,0
redfox; leopard,-1,0,0
dragon,-2,-1,-1
domesticcat; otherfeline; other,0,0,1
dragon,1,-1,2
redfox; greyfox; kitsune,0,0,0
other,-2,-1,0
redfox,-2,-2,-1
wolf,-2,0,-1
wolf,-1,-1,-2
domesticcat,-1,1,-2
wolf,0,0,0
dragon; bat,-1,1,0
bat,-1,-1,1
tiger,-1,0,0
othercanine; otherfeline; othermarsupial; other,-1,-1,0
redfox,-2,0,0
dragon,-1,-1,-2
wolf,-1,-1,1
otherfox,-1,-1,-2
cheetah,1,0,1
domesticcat,-1,-1,1
cheetah; riverotter,-1,0,0
redfox,0,0,-1
lizard,-1,-1,0
otherfeline; other,1,0,-1
domesticcat,-2,-2,1
wolf,1,0,0
otherfox; domesticcat,-1,0,-2
domesticcat,,,-2
wolf; domesticcat,-1,-1,1
domesticcat,1,1,-1
leopard,0,0,0
husky,1,0,1
redfox,-1,-1,1
redfox,1,1,0
wolf; otherfox,0,1,-1
domesticcat,-1,0,0
wolf; husky,-1,0,0
rat,-1,-1,-1
other,2,,1
,0,0,1
kitsune; lion; rabbit,0,1,1
redfox,-1,-1,-1
wolf; otherfox,2,-1,-2
collie; otherdog,0,-1,1
otherfox,-1,-1,-1
wolf,1,1,1
dragon,-1,0,0
otherfeline,0,0,1
other,1,0,1
hyaena,0,0,0
othercanine; other,0,0,0
deer; otherbird,0,1,-1
domesticcat,-1,0,0
otherbear,0,0,0
wolf,-1,-1,-2
coyote,0,1,-1
domesticcat,-1,1,0
dragon; other,0,0,0
squirrel,-2,0,0
lizard,-1,0,0
other,1,-1,1
kangaroo,-1,-1,1
snowleopard,-1,0,-1
redfox,-1,0,1
horse,1,-1,0
domesticcat,-2,-2,-1
redfox,1,0,0
tiger,2,1,1
redfox; snowleopard,1,0,1
wolf,1,1,-1
other,-1,0,0
lion,0,0,-1
wolf,-1,-1,-1
raccoon; rabbit,0,-1,1
lion,-2,1,1
redfox,-2,-1,2
collie,-1,0,1
redfox; otherfeline,-1,0,-1
wolf,1,2,0
dragon,0,0,0
germanshepherd,-1,0,1
otherdog; othercanine,0,0,-1
otherfeline,-1,0,1
wolf; redfox; dragon,-1,-1,1
jackal; lizard; other,-2,-2,0
other,-1,1,0
otherbear,1,0,0
dragon,0,0,0
horse; other,0,1,-1
tiger; snowleopard,0,0,-1
jackal; domesticcat,0,1,-1
arcticfox,1,0,1
other,-2,-1,0
tiger; raptor; griffin,-2,-1,0
wolf; redfox; husky; dragon; raccoon; redpanda; pandabear; polarbear; otherbear; otherbird,0,0,0
collie,-2,0,2
wolf; redfox,0,0,0
greyfox,1,0,1
coyote; cougar; dragon,-1,0,-1
otherdog; other,-1,0,-1
cheetah,-1,-1,-1
wolf; otherdog,0,0,1
othermustelid,0,0,0
griffin,0,0,0
other,-1,1,2
riverotter,0,-1,-1
wolf,-1,0,0
hyaena,1,-1,-1
redfox,2,0,2
redfox; tiger,-1,1,-1
other,-1,1,1
domesticcat,-1,-1,-1
greyfox; kitsune,-1,-1,0
husky,-2,0,-1
hyaena,-1,0,-2
snowleopard,1,1,2
otherfox,-1,-1,1
tiger,-2,1,0
wolf; coyote; germanshepherd; otherdog; othercanine,0,0,1
domesticcat,-2,-2,1
wolf,-1,1,1
kitsune,-1,-1,-2
domesticcat; otherfeline,-1,-1,0
husky,-1,1,2
otherfox; rabbit,-1,-1,-1
raccoon,-1,0,-2
domesticcat,-1,-1,1
wolf; otherfox; other,0,-2,-1
panther; riverotter; horse,-1,-1,0
riverotter,1,1,2
wolf,2,1,-1
kitsune,-2,-1,1
other,-2,-2,-1
wolf,2,2,0
other,1,0,0
redfox; otherreptile; other,-2,1,1
coyote,0,0,-1
dragon,0,0,-1
other,2,0,2
hyaena,-1,-2,-2
wolf; othercanine; otherfeline; otherreptile; othermusteloid; otherungulate; otherbear; other; otherbird; othermarsupial; otherprimate; other,0,-1,0
,-1,1,1
domesticcat,-1,0,-2
husky,0,0,2
other,-1,0,0
dragon,-2,-2,-2
redfox,-1,-2,2
cougar; otherfeline,1,2,1
snowleopard,0,0,1
cougar,1,1,1
otherfox,-2,-2,0
wolf,0,0,-1
otherfox,-1,0,-1
raccoon,0,0,-1
bat,0,0,0
monkey,0,-2,-2
rat,0,0,-1
rabbit,-2,0,1
husky,-2,-1,-1
otherfeline; other,0,-1,-1
dragon; dinosaur; otherreptile,1,-2,-2
domesticcat,-2,-2,-2
redfox,1,-1,-1
otherfox,0,0,0
panther; cheetah; cougar; domesticcat,0,0,0
other,0,1,-1
fennec,-1,0,0
redfox,-1,0,1
otherfox,0,0,0
tiger,-2,-1,-1
domesticcat,-1,0,-2
kitsune,-1,-1,2
husky,-1,0,0
mouse,-1,-1,-2
otherfeline,1,-1,-1
lion,-1,0,0
otherdog; otherungulate,-1,0,0
domesticcat,-2,-2,-2
wolf; germanshepherd,-1,0,1
wolf; otherdog,-1,-1,-1
dragon,-1,0,1
rabbit,-1,-1,0
dragon,-1,1,1
redfox,-2,-2,-2
raccoon,-1,0,0
polarbear,-1,-1,0
wolf; redfox,1,1,2
otherfox; other,0,1,-1
dragon,0,0,0
other,-2,-1,-1
arcticfox,0,0,0
snowleopard,-1,0,-1
wolf; otherdog,0,0,-1
redfox; greyfox,-2,-2,1
otherdog,2,2,2
otherdog,0,0,0
rabbit,0,-2,-2
otherdog,0,0,0
mouse; other,-2,-2,-2
wolf,1,1,1
husky,0,1,-1
wolf,0,0,-1
dragon,-1,1,0
othermustelid,1,1,1
panther,-1,0,0
wolf,-1,-2,1
otherdog,-1,0,0
arcticfox,-1,-2,0
wolf; husky; otherfeline,-2,-2,0
wolf,-1,-1,0
other,0,-1,-1
domesticcat,0,0,-1
snowleopard; cheetah,-1,-1,0
other,0,-2,0
dragon,-1,1,-1
redfox; dragon; deer,0,0,0
snowleopard,-1,-2,0
dragon,1,0,-1
redfox,-1,-1,-1
wolf,-1,0,0
otherdog; dinosaur; other,-1,1,2
bat,-1,-1,-2
wolf,0,0,-1
dragon,0,-1,-2
dragon,0,-1,0
otherdog,-2,-2,0
domesticcat,0,-1,-1
raptor,-1,0,0
rabbit,-1,1,0
lizard,,-1,-1
panther; domesticcat,0,0,-1
dragon,-1,1,1
pandabear,-2,0,-1
dragon,0,-1,0
domesticcat,-2,0,-2
raccoon,-2,-1,2
snowleopard,1,1,0
redfox; cougar,0,0,1
redfox; other,2,1,0
dragon; mouse; raven; griffin; other,-2,-1,2
riverotter; seaotter,1,1,-1
bat,1,0,-1
riverotter,,-2,1
wolf; other,-1,0,-1
otherdog,1,0,0
greyfox,1,0,2
redfox,1,1,0
dragon,0,-1,0
wolf; greyfox,-1,0,1
germanshepherd,1,1,-1
riverotter,-2,1,0
arcticfox; otherfox,-2,-1,1
otherreptile,-1,-1,-2
deer,-2,-2,-2
wolf; husky,-1,0,-1
redfox; othercanine,1,-1,-1
wolf,1,1,0
dragon; hyaena,-1,-1,0
squirrel,,-1,-1
raccoon,0,0,0
coyote,-2,-2,1
bat,0,0,-1
wolf,-2,-1,-1
kitsune,1,0,-1
dragon,-1,-1,0
lion; domesticcat,1,0,-2
redfox,-2,-1,1
kitsune; husky,-2,-1,0
grizzlybear,1,1,0
otherfox,-2,-2,-2
othermarsupial,-2,0,0
wolf; tiger,0,-1,0
wolf,-2,1,-1
collie,0,0,0
otherreptile,-2,-1,-2
griffin,-1,1,0
otherdog; other,0,-1,-1
dragon,1,0,0
raccoon,-2,-2,1
wolf,-2,0,1
dragon,1,-1,0
riverotter,-1,1,0
wolf,-2,-1,2
wolf,2,0,0
husky,-1,0,-2
raccoon,-1,-1,0
snowleopard,-1,0,-2
redfox,0,0,-1
deer,-2,-2,1
otherfeline,-1,0,1
lion,0,0,-2
redpanda; squirrel,-1,-2,0
otherbird,0,-1,-1
domesticcat,-1,-2,-1
dragon,1,-1,2
wolf; otherfox,-2,-2,0
fennec,0,-1,-1
wolf,-1,-1,0
lion,2,0,0
raven; otherbird; other,-2,-1,-1
dinosaur,0,-1,-1
dragon; kangaroo,-2,-1,0
otherfox,-2,-1,-2
domesticcat,-1,-1,-1
jackal,1,0,0
riverotter,1,0,1
raccoon,-1,0,1
germanshepherd; othercanine,0,0,0
snowleopard,0,0,0
wolf; husky,0,1,-1
mouse,-1,0,-1
riverotter,-1,-1,-1
dragon; other,-1,-1,0
rat,0,0,0
wolf,-2,0,-1
wolf; tiger; otherbird,1,0,-1
wolf,-2,0,1
panther,0,0,0
deer,0,1,0
wolf; husky,-1,1,1
otherfox,-1,1,0
lizard,1,0,-1
greyfox,-1,-1,-1
wolf,0,1,0
jackal; otherfeline; other,0,0,-1
dragon,0,0,1
,-1,0,0
jackal,0,-1,1
wolf,1,2,0
other,-2,-1,-1
tiger,-2,-2,-2
dragon; other,-2,-1,-2
dragon,0,-1,-1
redpanda,0,0,-2
dragon; otherbird,1,0,0
otherfox,0,0,2
othercanine,-1,-1,-1
redfox,0,1,1
rabbit,-1,-2,-2
wolf,-2,-1,-1
tiger,0,0,1
domesticcat,-2,-1,0
dragon,-1,-1,0
mouse,0,-1,-1
horse,0,0,0
otherdog,-1,0,1
cougar,-1,0,0
domesticcat,-2,-2,0
raptor,-2,-2,-1
deer,-1,-1,0
arcticfox; husky,-2,0,0
domesticcat,0,-1,0
wolf,0,1,0
redfox,1,0,0
redfox,-1,0,1
snowleopard; otherfeline,0,1,1
brownbear,-2,-1,-1
redfox,0,0,0
kitsune; pandabear,0,-1,0
otherdog,-1,0,-1
arcticfox; otherfox,1,-1,-2
redfox,1,1,1
domesticcat,-2,-1,0
arcticfox,-1,-1,0
cheetah,0,-1,2
mouse,-1,0,0
redfox; otherfox,1,1,0
husky,-1,0,-1
wolf,-2,0,-1
redpanda,-1,1,2
fennec,0,0,0
dragon,1,-1,-1
arcticfox; fennec; otherfox,-2,-2,-1
wolf,-1,1,1
domesticcat,-1,1,1
redfox,-1,0,-1
redfox; squirrel,1,-2,-1
tiger; other,-2,-1,1
otherfox,-2,-1,-1
kitsune,-1,-2,-1
tiger,2,2,2
wolf,1,1,-2
raccoon,-1,1,1
dragon,-2,0,-2
tiger; snowleopard; domesticcat,1,1,-1
otherbear,-1,-1,-2
other,0,1,0
other,0,0,-1
wolf,-1,0,-1
otherfox,-2,-2,-2
griffin,-1,0,-1
riverotter,-2,-1,1
germanshepherd,1,0,0
collie,1,-1,0
tiger,-1,0,1
otherbird,-2,-2,-2
wolf,-1,-1,0
horse,1,1,2
othercanine; otherfeline; other,-2,-1,0
raccoon,1,0,1
domesticcat,1,1,-1
otherfeline,1,0,0
wolf; husky,0,-1,-1
dragon; raccoon,1,-2,-1
otherdog,-1,0,0
dragon,0,1,2
other,-2,-2,-2
other,-1,1,1
germanshepherd; collie,0,0,-1
dragon,-1,-1,-1
cougar,0,0,-1
otherdog; horse; other,-1,1,-1
dragon,2,1,-1
other,-1,0,1
wolf,-2,-1,-1
tiger,1,1,1
redfox; bat,0,1,1
deer,-1,1,0
otherdog; other,1,1,0
panther,-2,-2,-2
husky,-1,-2,0
wolf; riverotter,1,1,0
domesticcat,0,0,0
dragon,0,0,0
domesticcat,1,0,0
kitsune; fennec; raven; griffin,-1,0,1
cheetah,1,1,1
dragon,-2,-2,1
dragon,-1,0,1
dragon,1,0,0
wolf; other,1,0,1
dragon,-2,-1,-1
wolf; deer,-1,0,-1
otherfox; jackal,1,0,-1
otherfeline,0,1,-2
othercanine,-2,0,-2
otherfeline,,0,0
bat,-2,-1,-1
dragon,0,2,-2
redfox,-1,-1,-2
other,-2,-1,-1
wolf,2,1,1
dragon,1,-1,0
deer,1,1,1
domesticcat,-1,-1,1
wolf; tiger,1,1,0
redfox; snowleopard,0,-1,-2
arcticfox,2,2,1
deer,0,0,1
wolf,0,0,-1
domesticcat,-1,,0
domesticcat,1,0,-1
domesticcat,-2,0,1
wolf,0,1,1
wolf,0,1,0
lion,0,0,0
other,0,1,1
redfox,0,-1,-1
kitsune,1,0,0
wolf; redfox; husky; otherdog,-1,-1,-1
redfox,1,1,0
germanshepherd; husky,-1,0,-1
snowleopard; cheetah,-1,0,0
husky; badger,-1,1,1
collie,2,1,1
wolf,-1,0,-2
wolf,-1,1,-1
horse,0,1,1
horse,1,1,1
husky,0,0,1
germanshepherd,-1,-1,-1
other,0,0,0
fennec,-1,-1,0
otherdog; other,1,1,-1
weasel,-2,-2,-1
rabbit,-2,-2,1
wolf; redfox,0,0,0
raccoon,-1,0,1
germanshepherd; husky,-1,1,0
othercanine; griffin,-2,-1,0
wolf; greyfox,1,1,0
dinosaur,-2,-1,0
panther,-1,0,1
otherbear,0,0,0
other,0,1,-1
othercanine; othermarsupial,-1,1,0
redfox,-1,-2,-2
mouse; squirrel; other,0,-1,-1
wolf; other,-1,-1,-1
other,-1,0,-1
redfox,-2,-2,2
wolf,-1,1,-1
riverotter,-1,-1,-2
wolf; dragon,0,0,0
riverotter,1,0,2
other,-1,-1,1
arcticfox; kitsune,0,0,-2
redfox,1,1,-1
collie,0,-1,0
rabbit,-1,-1,-2
hyaena,0,1,1
otherfox,-2,0,-1
dragon,-1,0,0
wolf,0,0,-1
wolf; arcticfox,-1,0,-1
redfox,0,0,1
redfox; tiger,0,1,-1
snowleopard,-1,-1,-1
dragon; dinosaur,0,0,-1
wolf,-2,0,-1
redfox; arcticfox; fennec,-1,0,1
riverotter; weasel; othermustelid; other,-1,-1,-1
raccoon,0,0,0
other,-1,-1,-1
tiger,1,2,0
greyfox,0,0,-2
wolf; husky,-1,0,0
,-2,-1,2
otherdog; raccoon,0,-1,-1
other,-1,1,1
redpanda,-2,1,1
arcticfox,-1,-2,0
wolf; bat,-1,0,0
redfox; greyfox,0,0,0
wolf,0,-1,0
husky; otherfeline,-2,-2,0
collie,-2,1,0
wolf; lizard; other,1,1,1
wolf; othercanine; other,0,0,0
wolf,0,1,0
wolf,1,1,-1
tiger,1,0,1
kitsune,0,0,0
othercanine; other,-2,-2,1
lion,0,0,-1
wolf,-1,0,1
kitsune,-1,-1,-1
dragon,-2,-2,-1
lion,-1,0,0
other,-1,0,1
other,-1,0,-2
wolf,-1,1,-1
redfox,-2,,-1
wolf; germanshepherd,-2,0,1
otherdog,0,-1,-1
fennec,1,0,1
riverotter,0,0,0
wolf,-2,-1,-1
coyote,1,1,1
rat,0,1,-1
other,2,2,-2
snowleopard,-1,1,-1
husky; snowleopard,-2,-1,1
brownbear,1,0,1
bat,0,0,0
otherdog,-1,-1,-2
redfox; kitsune; otherfox,0,-1,-1
husky,-1,-1,-1
other,-1,-2,1
husky,-2,-1,1
dinosaur,-1,0,0
coyote,1,0,0
wolf; other,-2,1,0
lion,-1,-1,0
dragon,-1,1,1
skunk,0,2,2
otherfox; other,,,-1
redfox,-1,-1,-1
otherdog,0,0,0
dragon,0,0,-1
domesticcat,0,0,1
otherbird,1,0,-1
wolf,-1,0,0
wolf; redfox,-1,-1,0
deer,-1,-1,-2
wolf; fennec,-2,-1,0
germanshepherd; otherdog,1,2,1
kitsune,-2,-1,-1
redfox,0,1,-1
otherdog; other,-1,-1,0
otherfox,0,0,1
kangaroo,0,0,0
dragon,1,1,-1
wolf,0,0,0
wolf; raven,1,1,0
wolf; otherdog,1,0,0
wolf,0,-1,-1
dragon,0,0,1
tiger,-2,-1,-1
dragon,-1,-1,0
otherdog,-1,0,1
other,-1,-2,0
wolf; otherreptile,1,-1,0
rabbit,0,1,-1
coyote,0,-1,-1
wolf,0,0,1
wolf,1,0,-1
other,0,0,0
otherdog; skunk; otherbear,0,0,1
polarbear,-2,2,2
othercanine,0,0,1
fennec,-2,-1,1
wolf,-1,-1,-1
badger,0,0,0
dragon,1,-1,1
dragon,-1,1,1
otherdog,1,1,2
deer,-1,1,0
germanshepherd,1,0,-1
husky,-1,0,1
wolf; otherdog,1,0,1
otherdog,2,1,0
tiger; other,0,1,1
greyfox,0,0,-1
redfox,0,0,-2
wolf; arcticfox,-1,-2,-1
wolf; otherdog; othercanine,0,0,0
squirrel,-1,0,-1
otherdog,1,2,0
dragon,2,-1,1
wolf; husky,1,0,-2
jackal,-2,0,1
otherungulate,-2,0,0
wolf; other,0,1,1
othercanine,1,0,-1
otherdog; othercanine,-1,0,1
snowleopard; domesticcat,-2,0,1
dragon,-2,-1,0
germanshepherd,-2,0,-1
wolf,0,-1,1
wolf,-1,-1,0
dragon,-1,0,-1
lion,2,0,0
wolf,-2,0,0
redfox; griffin,-1,-1,-1
lion,1,-1,2
other,0,0,0
redfox,0,-1,-2
domesticcat,2,1,1
hyaena,2,0,0
husky; otherungulate,0,0,0
wolf; husky,1,0,1
arcticfox; kitsune; lizard,-1,0,1
wolf; kitsune,0,0,0
domesticcat,1,1,-2
otherfox; dragon,1,0,-1
wolf; other,1,1,2
redfox,1,1,0
otherfeline; other,0,-1,0
redfox,0,-2,1
othermarsupial; other,-2,-2,-2
germanshepherd,-1,0,1
wolf,-1,-2,-2
wolf,0,0,-1
kitsune,-2,-1,-1
wolf,-1,0,-1
fennec,-2,-2,1
wolf; rabbit,-2,-1,1
redfox,0,0,0
collie,1,1,1
dragon,2,0,0
kitsune; seaotter; redpanda,0,0,0
other,-2,-2,-2
redfox,-2,1,1
domesticcat,-2,-1,1
wolf,1,-1,-1
griffin,2,2,1
otherfeline,-1,1,0
rabbit,1,-1,-2
redfox; otherdog,0,-1,1
otherdog,1,1,-1
brownbear,-2,-1,-1
wolf,0,0,0
redfox,-1,-1,0
redfox,-1,0,-1
husky,-1,0,0
coyote; husky,1,1,2
wolf,-1,1,-1
dragon,0,0,0
dragon,0,1,1
squirrel,-1,-1,0
other,-1,-1,-2
wolf,-1,0,1
redfox,1,1,-1
tiger,1,1,0
dragon,-1,-1,0
other,-1,1,0
redfox; cheetah; otherfeline,-2,-1,-1
otherfox; dragon,-2,-2,-1
redfox,-1,0,1
wolf,0,1,0
coyote,-1,0,1
horse,0,1,-1
redfox,-1,-1,0
otherfox,-2,1,-1
coyote; hyaena,1,0,2
mouse,0,-1,1
dragon,,,0
snowleopard,1,0,-2
wolf,2,1,0
brownbear,1,0,-1
otherdog,-2,-2,-2
husky,-1,1,1
othermustelid,-1,1,-2
lion; domesticcat,1,2,0
wolf,-2,-1,-1
snowleopard,0,-1,-1
other,-2,-1,-1
lion,0,1,1
otherdog,-1,-1,-2
redfox; other,0,0,1
raptor,1,-1,-2
tiger,0,0,0
wolf,-1,-1,-2
germanshepherd,-1,0,-2
otherdog,0,-1,1
arcticfox,1,1,2
snowleopard,-1,0,1
wolf; germanshepherd; otherdog,-1,-1,-1
riverotter,-1,0,0
wolf; greyfox,-2,1,1
snowleopard,-1,-1,1
raptor,-1,0,-1
dragon,-1,1,1
wolf,1,0,1
redpanda,-1,-2,1
rabbit,1,0,-1
redfox; other,0,1,1
wolf,-1,-1,0
wolf,-2,-1,0
rabbit,-1,1,1
raven,-1,-2,-2
other,0,0,0
redfox,-1,0,-1
redfox,-1,-1,0
greyfox,0,0,0
otherbird,1,0,-1
coyote,1,-1,-1
domesticcat,-1,0,-1
redfox,-1,-1,-2
snowleopard; cheetah,0,0,0
otherbird,-1,0,0
leopard,-1,0,-1
badger,2,0,1
coyote,-2,0,1
wolf,0,1,2
otherfeline,-1,0,-1
kitsune; fennec,-2,-1,0
horse,-2,-1,-2
otherbird,-1,0,-1
cheetah,1,0,0
seaotter,1,1,1
bat,-2,-2,-1
brownbear,0,-1,1
cougar,1,0,1
cougar,0,-1,0
raptor,-1,0,0
germanshepherd; husky; otherdog,-1,0,0
other,1,0,0
lion,-1,0,1
otherfox; dragon; lizard; dinosaur,0,1,2
lion,2,1,0
snowleopard,1,-1,-1
dinosaur; pandabear,0,-1,-1
otherdog,-1,0,1
redpanda,-1,-1,-1
redfox,-1,0,-2
other,-1,-1,-1
wolf; tiger,0,1,-2
kitsune,-2,-2,-2
redfox,0,-1,-1
lemur,-1,-1,-1
lion,-1,-1,1
otherungulate; rat; hyaena; other,0,0,0
hyaena,-2,1,2
arcticfox,-1,0,1
wolf; husky,,-1,0
dragon,-1,-1,-2
snowleopard,0,0,-1
hyaena,-1,0,-1
cougar,-1,0,-2
riverotter,1,0,-1
snowleopard,2,1,-1
domesticcat,1,0,1
wolf; riverotter,-1,0,0
domesticcat,1,1,1
tiger,1,0,2
domesticcat,-1,2,1
leopard; otherfeline,-1,-2,-1
wolf,-1,-1,0
wolf; otherdog,0,0,0
dragon; bat,1,1,-1
wolf,0,0,1
redfox,0,0,0
redfox,-2,0,0
domesticcat,1,1,-2
fennec,-2,0,0
redfox,-1,2,-1
otherfox; lizard; raccoon,1,1,1
dragon; griffin,1,0,1
coyote,0,0,2
other,1,0,-1
horse; deer; otherungulate; other,-2,-1,1
otherdog,-2,0,0
snowleopard,-1,-1,0
redfox; kitsune; otherfox,1,0,-1
weasel,1,-1,-2
other,0,-1,0
jackal,-1,0,-1
redpanda,-2,-2,-1
other,-1,0,1
tiger,0,1,0
cougar,-1,-1,1
panther,-1,0,0
otherdog,-1,-1,1
wolf; dragon,-1,-1,-2
lion,-1,0,2
husky,-1,1,0
coyote,-2,-1,-1
dragon,0,1,2
dragon,-2,0,2
hyaena,1,-1,-1
collie,-1,-2,-2
greyfox,,0,-1
domesticcat; riverotter,0,-1,1
domesticcat,1,0,0
otherbear,2,1,1
husky,1,0,2
badger,-1,1,0
redfox,-1,-1,-1
otherfox,-1,-2,0
otherdog; redpanda; other,-2,-2,2
redfox,-1,1,-1
wolf; greyfox; husky,0,2,-1
redpanda,0,-1,-1
skunk,0,1,2
redfox,-2,-1,1
otherfox,-1,-1,-2
riverotter,-1,-1,1
weasel,-1,-1,-1
domesticcat,-1,1,1
dragon,1,2,0
otherfeline; other,-1,0,0
otherprimate; other,1,1,0
otherfox,-2,0,0
other,-1,1,-1
kitsune; otherfox,0,-2,-2
wolf,-2,-2,-2
skunk,1,0,1
otherbird,-2,0,1
wolf,2,0,1
wolf,1,2,2
redfox,-2,-2,0
redpanda,-1,-1,-2
deer,-2,0,0
other,-2,0,-1
snowleopard,-2,-2,-2
wolf; otherdog,-1,-1,-1
otherbird,2,0,0
wolf; othercanine,2,1,1
raccoon; deer,0,0,-1
wolf,0,0,1
lizard,-2,0,-2
other,2,1,1
otherdog,-1,1,0
horse,1,1,1
lion,-1,0,1
otherbird,-1,-1,-1
dragon,2,1,1
redfox; dragon; otherreptile; mouse; raptor,0,0,1
other,-1,0,1
redfox,1,-1,-1
wolf; otherdog; othercanine,1,0,0
dragon; lizard; dinosaur; otherreptile,1,0,0
rabbit,-1,-1,-2
monkey,-1,0,1
domesticcat,0,-1,0
wolf; raccoon,0,0,0
seaotter,-1,0,1
domesticcat,-1,-1,-1
raccoon,-1,-1,-2
other,0,-1,-2
lizard,-1,0,-1
horse; other,-1,-1,1
other,1,0,-1
otherdog,1,0,-2
otherfeline,1,1,0
arcticfox; kitsune,-1,1,-1
other,1,-1,0
kangaroo,0,0,-1
wolf,-1,0,-1
domesticcat,-2,-1,1
wolf,-1,0,1
weasel,-1,0,0
otherdog,-2,-2,0
dragon,-2,0,-1
riverotter,-1,0,-2
otherungulate; other,-2,0,0
greyfox,1,-1,1
deer,-1,-1,0
otherdog,-2,-1,1
raccoon,,-1,-1
bat,0,0,0
coyote,-2,-1,2
tiger,-1,-1,-1
redfox; kitsune,1,-1,-2
redfox,-2,-1,-2
panther; dragon,-1,-1,1
otherungulate,-1,-1,1
germanshepherd; husky,-1,-1,-1
snowleopard,1,0,1
redfox,-1,0,0
domesticcat,1,-1,0
otherdog,-1,-1,-1
wolf; collie,-2,-2,-1
otherfox,0,0,-1
raccoon,-1,0,1
riverotter,1,1,-1
wolf,0,0,-2
otherdog,-1,-1,-1
horse,1,-1,0
germanshepherd,0,0,-1
domesticcat,-1,0,-1
domesticcat,-1,-2,-1
otherfeline; otherbird,0,-1,0
redfox,-1,0,0
wolf,-1,-1,0
wolf; lemur; other,0,1,2
rabbit,-2,-1,-1
redpanda,-1,1,-1
coyote,1,0,-1
other,0,-1,0
domesticcat,-2,0,1
arcticfox; otherfox; otherfeline,0,0,0
husky,-2,-1,0
other,-1,1,0
germanshepherd,-1,-1,-2
other,0,1,-2
dragon,1,1,0
other,-2,0,-1
dragon,-1,0,0
domesticcat,-1,1,0
husky,1,-1,-1
husky; otherdog,0,-1,-1
wolf,1,1,-1
redpanda,0,0,2
dragon,0,-1,1
otherreptile,-2,-2,2
othercanine; other,-1,0,1
wolf,,,-1
arcticfox,-2,-2,-2
tiger,-1,0,-1
wolf; dragon,1,0,1
badger,0,0,2
otherbear,-1,0,0
othermustelid; other,0,0,0
tiger,1,1,-1
tiger,1,1,2
domesticcat,-2,0,0
coyote,1,1,-1
othermustelid,-1,0,0
other,-1,0,1
redfox,-1,0,-1
skunk,-1,-1,-2
dragon,0,-1,-1
greyfox,1,1,0
wolf,0,0,1
otherdog; redpanda,-1,-1,0
squirrel,0,-1,1
otherreptile; other,-1,0,-1
squirrel,-1,-1,0
wolf,2,1,1
other,-1,-1,1
cougar; raccoon,0,-1,0
other,1,0,0
,1,-1,-2
otherbird,2,1,-1
coyote,1,0,0
redfox,-1,0,1
wolf; cougar,0,1,-2
kitsune,0,1,0
jackal; rabbit,0,0,0
pandabear,-1,-1,0
othermarsupial,-1,0,1
redfox; other,1,0,2
dragon; otherreptile,-1,1,0
wolf,0,1,1
cheetah,-1,0,0
rabbit,-1,1,0
wolf,-1,0,0
othercanine; other,-1,0,1
redfox,1,-2,-2
collie,1,0,0
rabbit,-1,1,0
dragon,-1,1,2
redfox,1,1,0
husky,0,-1,1
dragon,-1,-1,0
domesticcat,-2,-1,0
other,-2,-1,1
cougar,-1,0,-1
husky,1,0,0
wolf; other,-1,0,0
otherreptile,0,0,-1
otherfox,1,1,0
husky,-2,0,0
redfox,0,1,2
snowleopard,-1,-1,-2
rat,-1,1,1
rabbit,1,1,-1
