        duration         |  id   | empty_count | full_count | sum | percent_complete 
 00:05:28.610655         |  3563 |          17 |         17 |  34 |               50
 00:05:55.288005         | 10277 |          18 |         18 |  36 |               50
 00:52:55.871709         |  8128 |          17 |         17 |  34 |               50
 00:03:15.827716         |  3913 |          17 |         17 |  34 |               50
 00:02:25.292114         |  4989 |          18 |         18 |  36 |               50
 00:11:29.870724         |  5121 |          18 |         18 |  36 |               50
 00:03:56.489182         |  2560 |          17 |         17 |  34 |               50
 00:04:26.75518          |  9853 |          18 |         19 |  37 | 51.3513513513513
 00:05:53.770148         |  7772 |          18 |         19 |  37 | 51.3513513513513
 00:03:24.522207         | 10664 |          17 |         18 |  35 | 51.4285714285714
 00:05:50.638619         |  4148 |          17 |         18 |  35 | 51.4285714285714
 00:02:40.518986         | 11761 |          17 |         18 |  35 | 51.4285714285714
 00:02:46.443311         |  4223 |          17 |         18 |  35 | 51.4285714285714
 00:03:42.117104         | 10265 |          17 |         18 |  35 | 51.4285714285714
 00:06:12.213901         |  2184 |          17 |         18 |  35 | 51.4285714285714
 00:03:07.788893         |  4597 |          17 |         18 |  35 | 51.4285714285714
 00:03:26.807403         |  5197 |          17 |         18 |  35 | 51.4285714285714
 00:02:46.532076         |  5332 |          17 |         18 |  35 | 51.4285714285714
 00:05:50.805614         |  2773 |          17 |         18 |  35 | 51.4285714285714
 00:02:53.074799         |  6885 |          16 |         17 |  33 | 51.5151515151515
 00:03:50.722837         |  1697 |          16 |         17 |  33 | 51.5151515151515
 00:03:58.675363         |  6709 |          16 |         17 |  33 | 51.5151515151515
 00:05:50.839755         |  6950 |          15 |         16 |  31 | 51.6129032258064
 00:03:31.418587         | 11051 |          17 |         19 |  36 | 52.7777777777778
 00:05:02.892633         |  3844 |          17 |         19 |  36 | 52.7777777777778
 00:05:08.285692         | 10859 |          17 |         19 |  36 | 52.7777777777778
 00:12:20.504929         |   521 |          17 |         19 |  36 | 52.7777777777778
 00:02:34.857044         |   409 |          17 |         19 |  36 | 52.7777777777778
 00:05:11.067511         |  6677 |          17 |         19 |  36 | 52.7777777777778
 00:06:39.93463          | 11718 |          16 |         18 |  34 | 52.9411764705882
 00:05:32.010027         |  7248 |          16 |         18 |  34 | 52.9411764705882
 00:03:36.804691         | 10752 |          16 |         18 |  34 | 52.9411764705882
 00:02:39.5869           |  8218 |          16 |         18 |  34 | 52.9411764705882
 00:06:39.120441         | 10701 |          16 |         18 |  34 | 52.9411764705882
 00:05:12.778103         |  4595 |          16 |         18 |  34 | 52.9411764705882
 00:06:24.245863         |  2610 |          16 |         18 |  34 | 52.9411764705882
 00:05:22.708815         |  3184 |          15 |         17 |  32 |           53.125
 00:01:56.072763         | 11588 |          17 |         20 |  37 | 54.0540540540541
 00:03:27.360368         |  3534 |          17 |         20 |  37 | 54.0540540540541
 00:07:52.694436         |  7315 |          17 |         20 |  37 | 54.0540540540541
 00:02:17.178922         |  7662 |          17 |         20 |  37 | 54.0540540540541
 00:03:08.068942         |  7842 |          17 |         20 |  37 | 54.0540540540541
 00:02:22.569655         |  8040 |          17 |         20 |  37 | 54.0540540540541
 00:03:55.463072         |  8062 |          17 |         20 |  37 | 54.0540540540541
 00:05:40.250038         |  4203 |          17 |         20 |  37 | 54.0540540540541
 00:02:22.322659         |  8818 |          17 |         20 |  37 | 54.0540540540541
 00:02:34.041251         |  2159 |          17 |         20 |  37 | 54.0540540540541
 00:03:55.924944         |  9390 |          17 |         20 |  37 | 54.0540540540541
 00:03:22.928202         |  9393 |          17 |         20 |  37 | 54.0540540540541
 00:07:24.58822          |  6051 |          17 |         20 |  37 | 54.0540540540541
 00:04:03.19472          |  1452 |          17 |         20 |  37 | 54.0540540540541
 00:04:42.82493          |  1461 |          17 |         20 |  37 | 54.0540540540541
 00:04:19.623904         |  6493 |          17 |         20 |  37 | 54.0540540540541
 00:03:05.706935         |  7715 |          16 |         19 |  35 | 54.2857142857143
 00:07:08.592781         |  4201 |          16 |         19 |  35 | 54.2857142857143
 00:06:19.969247         |  3367 |          17 |         21 |  38 | 55.2631578947368
 00:09:16.874946         |  6940 |          17 |         21 |  38 | 55.2631578947368
 00:06:17.55404          |   492 |          16 |         20 |  36 | 55.5555555555556
 00:01:35.537175         |  7469 |          16 |         20 |  36 | 55.5555555555556
 00:03:59.456705         |  2460 |          16 |         20 |  36 | 55.5555555555556
 00:03:43.348582         |  2600 |          16 |         20 |  36 | 55.5555555555556
 00:03:14.245006         |  3697 |          15 |         19 |  34 | 55.8823529411765
 00:07:02.554681         |  4395 |          15 |         19 |  34 | 55.8823529411765
 00:02:09.885776         |  9420 |          17 |         22 |  39 | 56.4102564102564
 00:03:16.493836         | 10560 |          16 |         21 |  37 | 56.7567567567568
 00:05:07.736143         |  3549 |          16 |         21 |  37 | 56.7567567567568
 00:03:53.083477         |  7377 |          16 |         21 |  37 | 56.7567567567568
 00:05:04.189583         |   956 |          16 |         21 |  37 | 56.7567567567568
 00:11:23.260479         |  2304 |          16 |         21 |  37 | 56.7567567567568
 00:03:03.871257         |  9614 |          16 |         21 |  37 | 56.7567567567568
 00:03:06.152919         |  7550 |          15 |         20 |  35 | 57.1428571428571
 00:04:27.979564         |   979 |          15 |         20 |  35 | 57.1428571428571
 00:03:29.969359         |  2215 |          15 |         20 |  35 | 57.1428571428571
 00:04:16.959164         |  5043 |          15 |         20 |  35 | 57.1428571428571
 00:04:13.302508         |  5252 |          16 |         22 |  38 | 57.8947368421053
 01:22:38.656308         |  5905 |          16 |         22 |  38 | 57.8947368421053
 00:02:14.792889         |   196 |          15 |         21 |  36 | 58.3333333333333
