  id   | empty_count | full_count | sum 
  7039 |          13 |         33 |  46
 10673 |          18 |         31 |  49
  9797 |          20 |         33 |  53
  3643 |          21 |         33 |  54
  7335 |          14 |         49 |  63
  1636 |          14 |         53 |  67
  4229 |          14 |         54 |  68
  3699 |          14 |         55 |  69
  8086 |          13 |         58 |  71
  1660 |          12 |         59 |  71
  2784 |          16 |         55 |  71
  3467 |          15 |         56 |  71
  6211 |          15 |         57 |  72
 11559 |          13 |         59 |  72
  4915 |          14 |         59 |  73
  5071 |          13 |         60 |  73
 10824 |          15 |         58 |  73
  2439 |          14 |         59 |  73
   288 |          15 |         58 |  73
  3051 |          12 |         62 |  74
  1149 |          14 |         60 |  74
 11451 |          15 |         59 |  74
  3636 |          13 |         61 |  74
  3063 |          14 |         60 |  74
 11492 |          13 |         61 |  74
  7929 |          13 |         61 |  74
  5040 |          15 |         59 |  74
  3102 |          13 |         62 |  75
  8396 |          13 |         62 |  75
  2057 |          13 |         62 |  75
 10813 |          14 |         61 |  75
  4894 |          14 |         61 |  75
  3950 |          12 |         64 |  76
  7372 |          14 |         62 |  76
 11038 |          15 |         61 |  76
  2424 |          12 |         65 |  77
  5459 |          13 |         64 |  77
   600 |          16 |         61 |  77
  6508 |          12 |         65 |  77
  7067 |          14 |         63 |  77
  7836 |          13 |         64 |  77
 10087 |          14 |         63 |  77
  5014 |          14 |         64 |  78
 10407 |          14 |         64 |  78
  3455 |          14 |         64 |  78
  6626 |          13 |         65 |  78
  4092 |          13 |         66 |  79
 11445 |          12 |         67 |  79
  9208 |          12 |         67 |  79
  2478 |          13 |         66 |  79
 11075 |          13 |         66 |  79
  6440 |          16 |         63 |  79
  8032 |          13 |         66 |  79
 11635 |          13 |         66 |  79
  4937 |          15 |         64 |  79
  7440 |          12 |         68 |  80
  1062 |          15 |         65 |  80
  9311 |          11 |         69 |  80
  5647 |          13 |         67 |  80
  2291 |          12 |         68 |  80
  6791 |          14 |         66 |  80
  7361 |          14 |         66 |  80
  4785 |          11 |         69 |  80
  2630 |          13 |         67 |  80
  9557 |          12 |         68 |  80
  6249 |          13 |         68 |  81
  8693 |          13 |         68 |  81
  8927 |          11 |         70 |  81
  5809 |          14 |         67 |  81
   613 |          14 |         67 |  81
  7839 |          13 |         68 |  81
  7962 |          13 |         68 |  81
  7832 |          14 |         67 |  81
  5120 |          14 |         67 |  81
  2517 |          14 |         68 |  82
  4266 |          14 |         68 |  82
  5484 |          14 |         68 |  82
  8065 |          12 |         70 |  82
